File Info,,,,,,,VMAF,,,,,,,,,PSNR,,,,SSIM,,,
Index,Source,Output,Encode FPS,Bitrate,Bitrate (kbps),,Mean,1% Low,0.1% Low,Min,Harmonic Mean,Mean Diff,Bitrate/Quality,Bitrate/Quality (H),,Median,1% Low,0.1% Low,Min,Median,1% Low,0.1% Low,Min
30802,2dg,h264_tune to h265,28.05,1014346,1014.346,,93.84,89.03,88.01,87.68,93.80,0.04%,10.81,10.81,,46.15,42.66,42.09,41.96,0.983,0.962,0.957,0.955
30803,2dg,h264_tune to h264_nvenc,285.71,3206844,3206.844,,94.05,89.25,87.93,87.47,94.01,0.04%,34.10,34.11,,46.16,42.77,42.26,42.04,0.983,0.963,0.959,0.956
30804,2dg,h264_tune to h265_nvenc,205.56,3567981,3567.981,,93.86,88.96,87.58,87.11,93.82,0.04%,38.01,38.03,,46.31,42.89,42.40,42.31,0.983,0.963,0.959,0.956
30806,2dg,h264_tune to h264_qsv_v6_q,100.99,2896201,2896.201,,93.84,88.92,87.53,87.03,93.80,0.04%,30.86,30.88,,46.15,42.72,42.24,42.07,0.983,0.962,0.958,0.956
30807,2dg,h264_tune to h265_qsv_v6_q,82.16,1417868,1417.868,,93.32,87.41,85.82,85.45,93.27,0.06%,15.19,15.20,,45.33,42.00,41.55,41.35,0.981,0.960,0.956,0.954
30808,2dg,h264_tune to h264_tune,151.81,1045783,1045.783,,93.20,87.62,85.39,84.42,93.16,0.05%,11.22,11.23,,46.00,42.51,42.03,41.93,0.983,0.962,0.957,0.955
30809,2dg,h264_tune to h265_tune,27.86,767927,767.927,,93.59,88.42,87.16,87.04,93.54,0.05%,8.21,8.21,,46.06,42.64,42.07,41.97,0.983,0.962,0.958,0.956
30900,2dg,h265_tune,26.94,712161,712.161,,94.77,90.75,90.30,90.17,94.74,0.04%,7.51,7.52,,46.47,43.12,42.65,42.52,0.984,0.963,0.958,0.956
30901,2dg,h265_tune to h264,144.22,1053488,1053.488,,93.17,88.71,87.13,86.30,93.13,0.04%,11.31,11.31,,45.86,42.41,42.01,41.84,0.982,0.962,0.957,0.956
30902,2dg,h265_tune to h265,30.31,811511,811.511,,94.13,89.98,89.29,89.21,94.09,0.04%,8.62,8.62,,46.22,42.87,42.44,42.28,0.983,0.962,0.957,0.956
30903,2dg,h265_tune to h264_nvenc,214.13,3033775,3033.775,,94.46,90.43,89.84,89.72,94.43,0.04%,32.12,32.13,,46.34,43.00,42.58,42.45,0.984,0.963,0.958,0.957
30904,2dg,h265_tune to h265_nvenc,207.08,3331975,3331.975,,94.21,90.10,89.39,89.25,94.17,0.04%,35.37,35.38,,46.37,43.05,42.63,42.51,0.983,0.963,0.958,0.957
30906,2dg,h265_tune to h264_qsv_v6_q,92.43,2636516,2636.516,,94.18,90.02,89.00,88.46,94.14,0.04%,28.00,28.01,,46.27,42.93,42.52,42.40,0.983,0.963,0.958,0.957
30907,2dg,h265_tune to h265_qsv_v6_q,78.46,1240409,1240.409,,93.03,88.24,86.88,86.46,92.98,0.06%,13.33,13.34,,45.69,42.46,42.09,41.99,0.981,0.961,0.957,0.955
30908,2dg,h265_tune to h264_tune,127.01,868231,868.231,,93.25,88.25,86.32,85.32,93.21,0.05%,9.31,9.32,,45.97,42.60,42.18,42.00,0.983,0.962,0.958,0.956
30909,2dg,h265_tune to h265_tune,28.88,668988,668.988,,93.88,89.39,88.66,88.53,93.83,0.05%,7.13,7.13,,46.14,42.82,42.38,42.22,0.983,0.962,0.957,0.956
